,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST
Aggression,0.0,0.028047921071176887,0.029815781066979023,0.029955471596275807,0.02247191011235955,0.03058823529411765,0.02701298701298701,0.027046783625730996,0.025879917184265015,0.02584670231729055,0.022311468094600627,0.024657534246575342,0.024423914197727516,0.027769012306721363
Anticipation,0.0,0.030303030303030304,0.03482057288893622,0.030360275266495748,0.02696629213483146,0.02823529411764706,0.03283116883116883,0.03216374269005848,0.030952380952380957,0.031342840166369575,0.030789825970548863,0.031506849315068496,0.03260061590740151,0.03376459450930894
Bravery,0.0,0.02959830866807611,0.034714087956554146,0.029820537039535824,0.02247191011235955,0.02588235294117647,0.02784415584415584,0.02631578947368421,0.02846790890269152,0.02510398098633393,0.028112449799196786,0.028082191780821917,0.02548582351067219,0.030503839276322713
Composure,0.0,0.02945736434108527,0.031626024917474176,0.02887599514235596,0.030337078651685393,0.02588235294117647,0.031999999999999994,0.031432748538011694,0.02971014492753624,0.030154486036838977,0.029004908522980814,0.034931506849315064,0.0310077519379845,0.03197643841380036
Concentration,0.0,0.028047921071176887,0.03151953998509211,0.028471191472136014,0.02696629213483146,0.023529411764705882,0.029610389610389608,0.023391812865497075,0.02743271221532092,0.026440879382055853,0.02632753235162874,0.0273972602739726,0.027184878411383673,0.02871568318081414
Decisions,0.0,0.029034531360112754,0.03183899478223831,0.029685602482795843,0.029213483146067417,0.02823529411764706,0.031168831168831165,0.029239766081871347,0.030434782608695657,0.027629233511586453,0.027219991075412762,0.03219178082191781,0.031113942869278967,0.030083096665614813
Determination,0.0,0.03171247357293869,0.03514002768608242,0.033328835514775335,0.033707865168539325,0.03294117647058824,0.030857142857142854,0.02850877192982456,0.03198757763975156,0.03074866310160428,0.03435966086568496,0.03013698630136986,0.03345014335775725,0.03565793625749448
Flair,0.0,0.026638477801268497,0.02204238100308806,0.024827958440156523,0.035955056179775284,0.042352941176470586,0.025766233766233763,0.03508771929824561,0.03312629399585922,0.033719548425430776,0.037929495760821066,0.028767123287671233,0.03504300732717426,0.03029346797096876
Leadership,0.0,0.02283298097251586,0.03301032903844106,0.024423154769936582,0.021348314606741574,0.023529411764705882,0.025558441558441558,0.019736842105263157,0.026501035196687377,0.019756387403446228,0.02632753235162874,0.023287671232876714,0.023362004884782843,0.02661197012727464
Off_the_Ball,0.0,0.031148696264975333,0.02055159194973911,0.027526649574956145,0.033707865168539325,0.02823529411764706,0.027948051948051944,0.036549707602339186,0.03115942028985508,0.034759358288770054,0.03346720214190094,0.03424657534246575,0.034405861739407455,0.034395708425370784
Positioning,0.0,0.028188865398167725,0.034288148227025875,0.0292807988125759,0.016853932584269662,0.018823529411764704,0.029610389610389608,0.010233918128654972,0.021635610766045553,0.018122400475341652,0.012494422132976349,0.019178082191780823,0.01624721248805352,0.014936362680130431
Teamwork,0.0,0.031148696264975333,0.03332978383558727,0.030630144379975712,0.02696629213483146,0.018823529411764704,0.03449350649350649,0.022660818713450295,0.03198757763975156,0.028669043374925728,0.027219991075412762,0.030821917808219176,0.027503451205267072,0.03145051015041549
Vision,0.0,0.027343199436222692,0.026727718027899052,0.026042369450816356,0.033707865168539325,0.03764705882352941,0.031168831168831165,0.029970760233918127,0.0339544513457557,0.03104575163398693,0.029004908522980814,0.03356164383561643,0.03196347031963471,0.027453455348690443
Work_Rate,0.0,0.032135306553911204,0.03194547971462038,0.03278909728781541,0.030337078651685393,0.03058823529411765,0.03241558441558441,0.025584795321637425,0.03167701863354038,0.03163992869875223,0.029451137884872823,0.02945205479452055,0.02814059679303388,0.03071421058167666
Acceleration,0.0,0.03368569415081043,0.02587583856884251,0.033328835514775335,0.0348314606741573,0.03529411764705882,0.026701298701298698,0.03435672514619883,0.028157349896480336,0.03639334521687462,0.03659080767514502,0.028767123287671233,0.03313157056387385,0.029872725360260862
Agility,0.0,0.030021141649048625,0.02534341390693217,0.028741060585615975,0.033707865168539325,0.04,0.026597402597402595,0.03216374269005848,0.0303312629399586,0.03535353535353535,0.03525211958946899,0.026712328767123285,0.03196347031963471,0.027979383612075318
Balance,0.0,0.030303030303030304,0.028963901607922476,0.031169882606935637,0.028089887640449437,0.023529411764705882,0.028883116883116882,0.031432748538011694,0.028778467908902698,0.028371954842543075,0.028558679161088802,0.031506849315068496,0.0316448975257513,0.03313348059324708
Jumping_Reach,0.0,0.022128259337561663,0.03141305505271004,0.025097827553636487,0.019101123595505618,0.009411764705882352,0.022857142857142854,0.023391812865497075,0.018840579710144932,0.021538918597742124,0.020526550647032574,0.024657534246575342,0.01975151322077095,0.02808456926475229
Natural_Fitness,0.0,0.03128964059196618,0.030667660526035565,0.033328835514775335,0.029213483146067417,0.03764705882352941,0.031584415584415576,0.027046783625730996,0.031780538302277436,0.03357100415923945,0.03525211958946899,0.03013698630136986,0.0313263247318679,0.03250236667718523
Pace,0.0,0.03382663847780127,0.028644446810776273,0.03373363918499528,0.0348314606741573,0.03529411764705882,0.02732467532467532,0.03435672514619883,0.027536231884057977,0.03639334521687462,0.03480589022757698,0.02945205479452055,0.031751088457045766,0.03166088145576944
Stamina,0.0,0.03255813953488372,0.030135235864125226,0.03238429361759547,0.029213483146067417,0.03058823529411765,0.03251948051948052,0.029970760233918127,0.03115942028985508,0.03163992869875223,0.03168228469433289,0.030821917808219176,0.029414887968567487,0.030188282318291786
Strength,0.0,0.02635658914728682,0.03364923863273347,0.029415733369315883,0.02247191011235955,0.01411764705882353,0.027116883116883116,0.027777777777777776,0.023188405797101453,0.023469994058229353,0.024542614904060688,0.026712328767123285,0.024530105129021984,0.031134953192384563
Corners,0.0,0.022128259337561663,0.011606857629645405,0.017676426932937524,0.033707865168539325,0.03058823529411765,0.022129870129870128,0.027046783625730996,0.02691511387163562,0.02510398098633393,0.02320392681838465,0.01780821917808219,0.02378676860996071,0.012411907015883036
Crossing,0.0,0.029316420014094433,0.01852837823447982,0.028741060585615975,0.03146067415730337,0.03058823529411765,0.026285714285714284,0.029970760233918127,0.028881987577639757,0.03074866310160428,0.027666220437304778,0.02602739726027397,0.028034405861739407,0.02114231618807195
Dribbling,0.0,0.02945736434108527,0.023320200191672875,0.027256780461476185,0.035955056179775284,0.042352941176470586,0.02722077922077922,0.03216374269005848,0.03146997929606626,0.03490790255496137,0.03525211958946899,0.031506849315068496,0.03387490708293512,0.028294940570106238
Finishing,0.0,0.02029598308668076,0.018102438504951548,0.019700445284037242,0.028089887640449437,0.023529411764705882,0.022753246753246748,0.03216374269005848,0.027225672877846798,0.03104575163398693,0.03257474341811691,0.034931506849315064,0.03270680683869598,0.036078678868202374
First_Touch,0.07692307692307693,0.030303030303030304,0.027899052284101798,0.02914586425583592,0.03258426966292135,0.03764705882352941,0.032207792207792206,0.031432748538011694,0.034472049689441,0.03193701723113488,0.03480589022757698,0.03356164383561643,0.03355633428905172,0.03239718102450826
Free_Kick_Taking,0.0,0.020436927413671598,0.016398679586838463,0.018755903386857373,0.0348314606741573,0.023529411764705882,0.022129870129870128,0.03070175438596491,0.027225672877846798,0.024212715389185978,0.027219991075412762,0.023972602739726026,0.026016778167144528,0.02145787314610287
Heading,0.0,0.0222692036645525,0.03364923863273347,0.025232762110376467,0.015730337078651686,0.011764705882352941,0.021298701298701296,0.027046783625730996,0.018426501035196694,0.01990493166963755,0.02097278000892459,0.025342465753424658,0.022937241159604972,0.031029767539707587
Long_Shots,0.0,0.02170542635658915,0.019486742625918433,0.022534070975576845,0.029213483146067417,0.018823529411764704,0.026181818181818178,0.03070175438596491,0.028881987577639757,0.02941176470588235,0.029451137884872823,0.028082191780821917,0.028034405861739407,0.027137898390659516
Long_Throws,0.0,0.023537702607470047,0.018847833031626023,0.022264201862096884,0.008988764044943821,0.021176470588235293,0.014337662337662337,0.016812865497076022,0.008902691511387166,0.013517528223410576,0.009817045961624277,0.011643835616438357,0.010512902198152279,0.009256337435573789
Marking,0.0,0.027202255109231854,0.03364923863273347,0.027526649574956145,0.012359550561797753,0.01411764705882353,0.0241038961038961,0.009502923976608187,0.01708074534161491,0.013220439691027926,0.00892458723784025,0.014383561643835616,0.012318148030158226,0.011780793099821184
Passing,0.07692307692307693,0.028893587033121917,0.03024172079650729,0.0292807988125759,0.033707865168539325,0.03529411764705882,0.03366233766233766,0.03070175438596491,0.0339544513457557,0.030154486036838977,0.031236055332440876,0.03219178082191781,0.0316448975257513,0.028189754917429265
Penalty_Taking,0.0,0.019450317124735727,0.019912682355446704,0.018755903386857373,0.03258426966292135,0.023529411764705882,0.025662337662337657,0.035818713450292396,0.027225672877846798,0.024064171122994655,0.03034359660865685,0.030821917808219176,0.03122013380057343,0.033343851898601035
Tackling,0.0,0.029034531360112754,0.034288148227025875,0.030900013493455673,0.011235955056179775,0.02588235294117647,0.028779220779220776,0.013157894736842105,0.02018633540372671,0.01633986928104575,0.011601963409192326,0.01780821917808219,0.01465434851863651,0.01661933312296203
Technique,0.0,0.030162085976039466,0.028005537216483866,0.02901092969909594,0.03707865168539326,0.04,0.03137662337662337,0.03435672514619883,0.034472049689441,0.033719548425430776,0.035698348951361,0.034931506849315064,0.0352553891897632,0.03197643841380036
Aerial_Reach,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Command_of_Area,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communication,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eccentricity,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Handling,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicking,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One_on_Ones,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punching,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reflexes,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rushing_Out,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Throwing,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
